study_number,title,author,publication_year,sample_id,location,sample_type,grab_composite,fraction,sample_size_ml,sample_size_g,concentration_method,extraction_method,PCR_method,primer,target_gene,original_copy_number_vol,original_copy_number_mass,copy_number_ml,log_copy_number_ml,root_3_copy_number_ml,copy_number_g,log_copy_number_g,root_3_copy_number_g,ct,positivity,positive_negative,positive_negative_num,detection_kit,population,case_original,case_cumulative,case_daily,case_active,case_hospitalized,case_weekly,digitalizer,study_info,date
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_07,WWTP,Influent,Composite,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N2,N,3.1*10^3 copies/L,NA,3.1,0.491361694,1.458099736,NA,NA,NA,NA,<45,Positive,1,NA,244627,6200.07,2534.5,16.18,NA,NA,NA,yes,WWTP_A_0429,2020-Apr-29
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_07,WWTP,Influent,Composite,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N1,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,244627,6200.07,2534.5,16.18,NA,NA,NA,yes,WWTP_A_0429,2020-Apr-29
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_07,WWTP,Influent,Composite,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,244627,6200.07,2534.5,16.18,NA,NA,NA,yes,WWTP_A_0429,2020-Apr-29
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_10,WWTP,Influent,Grab,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N1,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,0,0,0,NA,NA,NA,yes,WWTP_B_0302,2020-Mar-02
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_10,WWTP,Influent,Grab,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,0,0,0,NA,NA,NA,yes,WWTP_B_0302,2020-Mar-02
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_10,WWTP,Influent,Grab,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N1,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,0,0,0,NA,NA,NA,yes,WWTP_B_0302,2020-Mar-02
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_10,WWTP,Influent,Grab,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,0,0,0,NA,NA,NA,yes,WWTP_B_0302,2020-Mar-02
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_13,WWTP,Influent,Grab,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N1,N,7.5*10^3 copies/L,NA,7.5,0.875061263,1.957433821,NA,NA,NA,NA,<45,Positive,1,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_13,WWTP,Influent,Grab,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N2,N,4.3*10^3 copies/L,NA,4.3,0.633468456,1.626133332,NA,NA,NA,NA,<45,Positive,1,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_13,WWTP,Influent,Grab,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N1,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_13,WWTP,Influent,Grab,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_14,WWTP,Influent,Grab,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N1,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_14,WWTP,Influent,Grab,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_14,WWTP,Influent,Grab,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N1,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_14,WWTP,Influent,Grab,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_15,WWTP,Influent,Grab,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N1,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_15,WWTP,Influent,Grab,S,1000,NA,Ultrafiltration,ZR Viral RNA Kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_15,WWTP,Influent,Grab,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N1,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
3,"First detection of SARS-CoV-2 RNA in wastewater in North America: A study in Louisiana, USA","Sherchan, S.P et al.",2020,S3_15,WWTP,Influent,Grab,SSS,1000,NA,Adsorption-Elution Electropositive membrane,ZR Viral RNA Kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,<45,Negative,0,NA,45694,476,1041,32.4,NA,NA,NA,yes,WWTP_B_0408,2020-Apr-08
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_01,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,Sarbeco_N,N,73000,NA,73,1.86332286,4.179339196,NA,NA,NA,NA,<45,Positive,1,NA,818182,2,0.24,0,NA,NA,NA,yes,NA,2020-Mar-17
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_01,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,73000,NA,73,1.86332286,4.179339196,NA,NA,NA,NA,<45,Positive,1,NA,818182,2,0.24,0,NA,NA,NA,yes,NA,2020-Mar-17
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_01,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N1,N,73000,NA,73,1.86332286,4.179339196,NA,NA,NA,NA,<45,Positive,1,NA,818182,2,0.24,0,NA,NA,NA,yes,NA,2020-Mar-17
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_01,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,73000,NA,73,1.86332286,4.179339196,NA,NA,NA,NA,<45,Positive,1,NA,818182,2,0.24,0,NA,NA,NA,yes,NA,2020-Mar-17
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_02,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,Sarbeco_N,N,68000,NA,68,1.832508913,4.081655102,NA,NA,NA,NA,<45,Positive,1,NA,818182,36,4.4,0.99,NA,NA,NA,yes,NA,2020-Apr-14
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_02,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,Sarbeco_N,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,36,4.4,0.99,NA,NA,NA,yes,NA,2020-Apr-14
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_02,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,68000,NA,68,1.832508913,4.081655102,NA,NA,NA,NA,<45,Positive,1,NA,818182,36,4.4,0.99,NA,NA,NA,yes,NA,2020-Apr-14
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_02,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,NIID_N,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,36,4.4,0.99,NA,NA,NA,yes,NA,2020-Apr-14
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_02,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N1,N,68000,NA,68,1.832508913,4.081655102,NA,NA,NA,NA,<45,Positive,1,NA,818182,36,4.4,0.99,NA,NA,NA,yes,NA,2020-Apr-14
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_02,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,CDC_N1,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,36,4.4,0.99,NA,NA,NA,yes,NA,2020-Apr-14
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_02,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,68000,NA,68,1.832508913,4.081655102,NA,NA,NA,NA,<45,Positive,1,NA,818182,36,4.4,0.99,NA,NA,NA,yes,NA,2020-Apr-14
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_02,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,CDC_N2,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,36,4.4,0.99,NA,NA,NA,yes,NA,2020-Apr-14
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_03,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,Sarbeco_N,N,82000,NA,82,1.913813852,4.344481486,NA,NA,NA,NA,<45,Positive,1,NA,818182,52.04,6.36,0.99,NA,NA,NA,yes,NA,2020-Apr-22
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_03,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,Sarbeco_N,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,52.04,6.36,0.99,NA,NA,NA,yes,NA,2020-Apr-22
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_03,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,82000,NA,82,1.913813852,4.344481486,NA,NA,NA,NA,<45,Positive,1,NA,818182,52.04,6.36,0.99,NA,NA,NA,yes,NA,2020-Apr-22
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_03,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,NIID_N,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,52.04,6.36,0.99,NA,NA,NA,yes,NA,2020-Apr-22
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_03,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N1,N,82000,NA,82,1.913813852,4.344481486,NA,NA,NA,NA,<45,Positive,1,NA,818182,52.04,6.36,0.99,NA,NA,NA,yes,NA,2020-Apr-22
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_03,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,CDC_N1,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,52.04,6.36,0.99,NA,NA,NA,yes,NA,2020-Apr-22
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_03,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,82000,NA,82,1.913813852,4.344481486,NA,NA,NA,NA,<45,Positive,1,NA,818182,52.04,6.36,0.99,NA,NA,NA,yes,NA,2020-Apr-22
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_03,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,CDC_N2,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,52.04,6.36,0.99,NA,NA,NA,yes,NA,2020-Apr-22
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_04,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,Sarbeco_N,N,66000,NA,66,1.819543936,4.041240021,NA,NA,NA,NA,<45,Positive,1,NA,818182,54,6.6,0,NA,NA,NA,yes,NA,2020-Apr-30
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_04,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,Sarbeco_N,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,54,6.6,0,NA,NA,NA,yes,NA,2020-Apr-30
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_04,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,66000,NA,66,1.819543936,4.041240021,NA,NA,NA,NA,<45,Positive,1,NA,818182,54,6.6,0,NA,NA,NA,yes,NA,2020-Apr-30
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_04,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,NIID_N,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,54,6.6,0,NA,NA,NA,yes,NA,2020-Apr-30
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_04,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N1,N,66000,NA,66,1.819543936,4.041240021,NA,NA,NA,NA,<45,Positive,1,NA,818182,54,6.6,0,NA,NA,NA,yes,NA,2020-Apr-30
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_04,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,CDC_N1,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,54,6.6,0,NA,NA,NA,yes,NA,2020-Apr-30
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_04,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,66000,NA,66,1.819543936,4.041240021,NA,NA,NA,NA,<45,Positive,1,NA,818182,54,6.6,0,NA,NA,NA,yes,NA,2020-Apr-30
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_04,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,CDC_N2,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,54,6.6,0,NA,NA,NA,yes,NA,2020-Apr-30
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_05,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,Sarbeco_N,N,71000,NA,71,1.851258349,4.140817749,NA,NA,NA,NA,<45,Positive,1,NA,818182,57.03,6.97,0,NA,NA,NA,yes,NA,2020-May-7
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_05,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,Sarbeco_N,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,57.03,6.97,0,NA,NA,NA,yes,NA,2020-May-7
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_05,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,71000,NA,71,1.851258349,4.140817749,NA,NA,NA,NA,<45,Positive,1,NA,818182,57.03,6.97,0,NA,NA,NA,yes,NA,2020-May-7
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_05,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,NIID_N,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,57.03,6.97,0,NA,NA,NA,yes,NA,2020-May-7
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_05,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N1,N,71000,NA,71,1.851258349,4.140817749,NA,NA,NA,NA,<45,Positive,1,NA,818182,57.03,6.97,0,NA,NA,NA,yes,NA,2020-May-7
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_05,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,CDC_N1,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,57.03,6.97,0,NA,NA,NA,yes,NA,2020-May-7
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_05,WWTP,Influent,Grab,SSS,200,NA,Electronegative vortex - Ultrafiltration,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,71000,NA,71,1.851258349,4.140817749,NA,NA,NA,NA,<45,Positive,1,NA,818182,57.03,6.97,0,NA,NA,NA,yes,NA,2020-May-7
4,First environmental surveillance for the presence of SARS-CoV-2 RNA in wastewater and river water in Japan,"Haramoto, E et al.",2020,S4_05,WWTP,Influent,Grab,SSS,200,NA,Electronegative membrane adsorption-Direct RNA extraction,RNeasy PowerWater Kit,qPCR,CDC_N2,N,4000,NA,4,0.602059991,1.587401052,NA,NA,NA,NA,<45,Positive,1,NA,818182,57.03,6.97,0,NA,NA,NA,yes,NA,2020-May-7
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_1,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,19550.5618,NA,19551,4.291168976,26.93950792,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,10,NA,5,NA,NA,NA,yes,NA,2020-Mar-19
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_2,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,19543.9524,NA,19544,4.291013454,26.93629241,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,5,NA,2.5,NA,NA,NA,yes,NA,2020-Mar-20
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_3,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,39201.1456,NA,39201,4.593297146,33.9702739,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,11,NA,5.5,NA,NA,NA,yes,NA,2020-Mar-21
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_3,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,59425.8647,NA,59426,4.773976499,39.0234354,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,11,NA,5.5,NA,NA,NA,yes,NA,2020-Mar-21
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_4,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,64469.2664,NA,64469,4.809350934,40.09747063,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,25,NA,12.5,NA,NA,NA,yes,NA,2020-Mar-23
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_4,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,80761.8418,NA,80762,4.907207065,43.22506833,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,25,NA,12.5,NA,NA,NA,yes,NA,2020-Mar-23
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_5,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,53789.3809,NA,53789,4.73069347,37.74833699,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,39,NA,19.5,NA,NA,NA,yes,NA,2020-Mar-24
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_5,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,39182.6393,NA,39183,4.593097684,33.96507371,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,39,NA,19.5,NA,NA,NA,yes,NA,2020-Mar-24
5,Measurement of SARS-CoV-2 RNA in wastewater tracks community infection dynamics,"Peccia, J et al.",2020,S5_6,WWTP,Primary solids,Grab,SO,2.5,NA,No concentration,RNeasy PowerSoil Total RNA Kit,qPCR,CDC_N1,N,88614.6728,NA,88615,4.947507242,44.58297862,NA,NA,NA,NA,< 40 & RP = + ,Positive,1,Bio-Rad iTag Universal Probes One-Step Kit,200000,32,NA,16,NA,NA,NA,yes,NA,2020-Mar-25
